title,description,link,date,polarity,sentiment
"A Socialite, a Gardener, a Message in Blood: The Murder That Still Grips France",The victim was a socialite. A message in her blood accused the gardener. But a grammatical error raised questions of class and language — and whether he was being framed.,https://www.nytimes.com/2021/11/20/world/europe/france-murder-ghislaine-marchal-omar-raddad.html,"Sat, 20 Nov 2021 18:15:55 +0000",0.0,Neutral
"In South Sudan, Vaccines Are Overshadowed by Pressing Needs","Much of South Sudan is under water from flooding induced by climate change and deforestation. Crops and livestock are lost, hunger and malaria are spreading. With so many worries, coronavirus vaccines are a tough sell.",https://www.nytimes.com/2021/11/20/world/africa/south-sudan-covid-flooding.html,"Sun, 21 Nov 2021 12:50:12 +0000",0.0,Neutral
The Daily Mail's Top Editor is Out. What Could It Mean for the U.K.?,"The top editor is out at The Daily Mail, widely viewed as the voice of middle-class voters, and the paper’s coverage of Boris Johnson’s government might be softened because of it.",https://www.nytimes.com/2021/11/20/world/europe/daily-mail-editor-out.html,"Sat, 20 Nov 2021 15:35:45 +0000",0.0625,Positive
Thousands in Austria Protest Covid Lockdown and Vaccine Mandate,"The protests were largely peaceful, but as dusk fell over the Austrian capital, skirmishes broke out between officers and groups of demonstrators.",https://www.nytimes.com/2021/11/20/world/europe/austria-lockdown-vaccine-mandate-covid.html,"Sun, 21 Nov 2021 05:01:36 +0000",0.0,Neutral
Playwright Is in Exile as Cuba Uses an Old Playbook to Quash Dissent,"Yunior García, one of the rising stars of the Cuban protest movement, fled to Spain. He is one of a young generation of artists who say they have chosen exile over imprisonment.",https://www.nytimes.com/2021/11/21/world/americas/yunior-garcia-exile-spain.html,"Sun, 21 Nov 2021 17:57:09 +0000",0.1,Positive
"Ardeshir Zahedi, Irrepressible Iranian Diplomat, Dies at 93","While he enabled business deals worth billions of dollars, he also hosted lavish parties, led conga lines through his embassy and dated Elizabeth Taylor.",https://www.nytimes.com/2021/11/21/world/asia/ardeshir-zahedi-dead.html,"Sun, 21 Nov 2021 16:55:32 +0000",0.0,Neutral
Michigan Hospitals Struggle With Covid Surge,Staffing shortages and pandemic fatigue add to complications.,https://www.nytimes.com/2021/11/21/world/michigan-covid-surge.html,"Sun, 21 Nov 2021 18:56:59 +0000",0.0,Neutral
More Asian Countries Slowly Reopen to Fully Vaccinated Travelers,The easing of restrictions comes as the holiday travel season is about to begin.,https://www.nytimes.com/2021/11/21/world/asia/asian-countries-reopen-tourism.html,"Sun, 21 Nov 2021 14:51:13 +0000",0.06666666666666665,Positive
How the U.S. Lost Ground to China in the Contest for Clean Energy,"Americans failed to safeguard decades of diplomatic and financial investments in Congo, where the world’s largest supply of cobalt is controlled by Chinese companies backed by Beijing.",https://www.nytimes.com/2021/11/21/world/us-china-energy.html,"Sun, 21 Nov 2021 19:58:27 +0000",0.3666666666666667,Positive
"Who, and Where, Is Chinese Tennis Star Peng Shuai?",A blackout within China on discussion of the tennis star’s #MeToo allegations has not been able to silence a global chorus of concern for her safety.,https://www.nytimes.com/2021/11/21/world/asia/where-is-peng-shuai.html,"Sun, 21 Nov 2021 16:32:26 +0000",0.0,Neutral
A Canadian senator has died after being hospitalized for Covid.,,https://www.nytimes.com/2021/11/21/world/canada/a-canadian-senator-has-died-after-being-hospitalized-for-covid.html,"Sun, 21 Nov 2021 14:51:11 +0000",0.0,Neutral
Just a few storms cloud the U.S. travel forecast for a second pandemic Thanksgiving.,,https://www.nytimes.com/2021/11/18/world/just-a-few-storms-cloud-the-us-travel-forecast-for-a-second-pandemic-thanksgiving.html,"Sat, 20 Nov 2021 21:39:53 +0000",-0.1,Negative
Italy Braces for Protests Over Country’s Covid Health Pass,A skimpy turnout for a rally in Rome and the outright failure of one in Milan underscored Italians’ overall acceptance of the country’s Green Pass.,https://www.nytimes.com/2021/11/20/world/europe/italy-covid-protests.html,"Sat, 20 Nov 2021 19:48:29 +0000",0.0,Neutral
Singapore Will Start Easing Its Covid Rules Next Week,The Southeast Asian city state is recovering from a recent surge of hospitalizations. An official said its reopening would proceed in a “step-by-step manner.”,https://www.nytimes.com/2021/11/20/world/asia/singapore-covid-restrictions.html,"Sat, 20 Nov 2021 13:48:02 +0000",0.0,Neutral
What to Know About the Frantic Quest for Cobalt,A New York Times investigation examines the global demand for raw materials as the clean energy revolution takes off. This is what we found.,https://www.nytimes.com/2021/11/20/world/china-congo-cobalt-explained.html,"Sun, 21 Nov 2021 15:41:16 +0000",0.0,Neutral
A Power Struggle Over Cobalt Rattles the Clean Energy Revolution,"The quest for Congo’s cobalt, which is vital for electric vehicles and the worldwide push against climate change, is caught in an international cycle of exploitation, greed and gamesmanship.",https://www.nytimes.com/2021/11/20/world/china-congo-cobalt.html,"Sat, 20 Nov 2021 17:06:38 +0000",0.3666666666666667,Positive
Beavers Misbehave. Canadians Love Them Anyway.,"Blamed for flooded fields, damaged roads and the occasional death, the beaver, which has played a seminal role in Canadian history, is now viewed by many as a problem, not a point of national pride.",https://www.nytimes.com/2021/11/20/world/canada/canada-beaver-dams.html,"Sat, 20 Nov 2021 10:00:18 +0000",0.5,Positive
How Hunter Biden’s Firm Helped Secure Cobalt for the Chinese,The president’s son was part owner of a venture involved in the $3.8 billion purchase by a Chinese conglomerate of one of the world’s largest cobalt deposits. The metal is a key ingredient in batteries for electric vehicles.,https://www.nytimes.com/2021/11/20/world/hunter-biden-china-cobalt.html,"Sun, 21 Nov 2021 15:44:49 +0000",0.06666666666666667,Positive
Protesters in Australia Rally Against Covid Restrictions,Demonstrators gathered in cities around the country to protest vaccine mandates and other rules.,https://www.nytimes.com/2021/11/18/world/australia/covid-protests-australia.html,"Sat, 20 Nov 2021 20:14:34 +0000",0.0,Neutral
Canada Keeps World Cup Dream Alive in Qualifying Match,"The Canadian men’s team, which has not been in the World Cup since 1986, is now leading the regional qualifying competition.",https://www.nytimes.com/2021/11/19/world/canada/soccer-canada-mexico.html,"Sat, 20 Nov 2021 00:00:07 +0000",0.1,Positive
Canada Expands Vaccines Accepted for Travel,Officials also removed a test requirement for eligible travelers re-entering Canada within 72 hours.,https://www.nytimes.com/2021/11/19/world/canada-vaccines-travel.html,"Fri, 19 Nov 2021 22:57:43 +0000",0.0,Neutral
Amazon Deforestation Soars to 15-Year High,"Brazil committed this month to end illegal deforestation in eight years, but a government report raises questions about its intent and ability to meet that target.",https://www.nytimes.com/2021/11/19/world/americas/brazil-amazon-deforestation.html,"Fri, 19 Nov 2021 18:26:13 +0000",0.16,Positive
"On Putin’s Strategic Chessboard, a Series of Destabilizing Moves","In the stretch of Europe from the Baltic Sea to the Black Sea, where Moscow and the West have competed for influence for decades, the threat of a new military conflict is growing.",https://www.nytimes.com/2021/11/19/world/europe/russia-putin-belarus-ukraine.html,"Sat, 20 Nov 2021 10:32:50 +0000",0.0,Neutral
"Austria Announces Covid Vaccine Mandate, Crossing a Threshold for Europe",The extraordinary step shows that governments desperate to safeguard public health and economic recoveries are increasingly willing to push for once unthinkable measures.,https://www.nytimes.com/2021/11/19/world/europe/austria-covid-vaccine-mandate-lockdown.html,"Fri, 19 Nov 2021 22:55:10 +0000",0.0,Neutral
Canada Approves Pfizer's Covid Vaccine for Kids 5 to 11,The move adds more than 2.8 million young people to those eligible for a shot.,https://www.nytimes.com/2021/11/19/world/canada/canada-pfizer-vaccine-kids.html,"Fri, 19 Nov 2021 22:59:13 +0000",0.0,Neutral
Venezuelan Opposition Risks an Election Challenge to Maduro,"With little hope of a fair vote, opposition candidates take a desperate risk to gain any edge against Venezuela’s entrenched autocrat, Nicolás Maduro.",https://www.nytimes.com/2021/11/19/world/americas/venezuela-elections-maduro.html,"Fri, 19 Nov 2021 18:56:45 +0000",0.0,Neutral
China’s Influence Looms Over Blinken’s Africa Visit,"On a stop in Nigeria, the secretary of state said the U.S. would no longer treat African countries as pawns in a global game. But American competition with Beijing was hard to overlook.",https://www.nytimes.com/2021/11/19/world/asia/blinken-africa-china-invest.html,"Fri, 19 Nov 2021 19:42:41 +0000",0.0,Neutral
German Health Minister Won't Rule Out New Lockdown,The remarks came in response to a reporter’s question as neighboring Austria prepares to lock down and cases continue to reach record levels.,https://www.nytimes.com/2021/11/19/world/europe/germany-covid-lockdown.html,"Fri, 19 Nov 2021 19:21:26 +0000",0.06818181818181818,Positive
Why the U.S. Is Considering Expanding Booster Shot Eligibility to All Adults,The U.S. may soon offer booster shots to every adult. Here’s why.,https://www.nytimes.com/2021/11/19/briefing/booster-eligibility-us-fda.html,"Fri, 19 Nov 2021 13:59:58 +0000",0.0,Neutral
Japan Approves a $490 Billion Stimulus Package,"The move, announced on Friday, is an attempt by the country’s newish prime minister to revive an economy battered by Covid restrictions and a supply chain crunch.",https://www.nytimes.com/2021/11/19/world/asia/japan-stimulus.html,"Fri, 19 Nov 2021 19:15:06 +0000",0.0,Neutral
"After Time in U.S. Prisons, Maria Butina Now Sits in Russia's Parliament","Maria Butina, convicted of serving as an unregistered foreign agent before and after the 2016 election, insists she “wasn’t a spy” and that her Duma seat is “not a reward.” Her critics call her a Kremlin “trophy.”",https://www.nytimes.com/2021/11/19/world/europe/maria-butina-russia-duma.html,"Fri, 19 Nov 2021 10:00:29 +0000",0.0,Neutral
1946: U.K. Launches Campaign for Roosevelt Statue,Prime Minister Clement Attlee announced a fund-raising drive to erect a statue of Franklin D. Roosevelt opposite the American embassy in London.,https://www.nytimes.com/2021/11/19/world/europe/roosevelt-statue-britain-attlee.html,"Fri, 19 Nov 2021 10:00:08 +0000",0.0,Neutral
What Does Mateship Mean to You?,"It’s a complicated, often-contested word that has evolved along with Australia’s values.",https://www.nytimes.com/2021/11/19/world/asia/what-does-mateship-mean-to-you.html,"Fri, 19 Nov 2021 08:46:13 +0000",-0.3125,Negative
"In Welcoming Prince Charles, Egypt’s Leader Sends a Message","The prince and his wife, Camilla, made Egypt their first foreign destination since the pandemic. Vestiges of British colonialism aside, they saw something new.",https://www.nytimes.com/2021/11/19/world/middleeast/prince-charles-egypt.html,"Fri, 19 Nov 2021 23:51:49 +0000",0.0,Neutral
China and U.S. Quietly Released Captive Citizens Before Summit,"The moves seemed aimed at untangling diplomatic knots as the two countries are clashing over human rights abuses, economic policies and much more.",https://www.nytimes.com/2021/11/19/world/asia/us-china-exit-ban-deport.html,"Fri, 19 Nov 2021 14:37:45 +0000",0.1,Positive
Your Friday Briefing,Tensions ease at the Poland-Belarus border.,https://www.nytimes.com/2021/11/19/briefing/belarus-poland-border-tennis.html,"Fri, 19 Nov 2021 05:13:32 +0000",0.0,Neutral
Modi to Repeal India Farm Laws Following Protests,"A bungled response to Covid and a struggling economy have hurt his party’s standing, leaving it vulnerable to a well-organized protest movement.",https://www.nytimes.com/2021/11/18/world/asia/india-farmers-modi.html,"Fri, 19 Nov 2021 22:32:12 +0000",0.0,Neutral
Cambodia Reopens for Fully Vaccinated Travelers,Tourism-dependent businesses have struggled to make ends meet without visitors.,https://www.nytimes.com/2021/11/18/world/asia/cambodia-fully-vaccinated-tourists.html,"Fri, 19 Nov 2021 12:50:36 +0000",0.0,Neutral
"Strike on U.S. Base Was Iranian Response to Israeli Attack, Officials Say","Iran has not acknowledged the attack, but U.S. and Israeli officials said it was retaliation for Israeli airstrikes, drawing the U.S. into Iran’s shadow war with Israel.",https://www.nytimes.com/2021/11/18/world/middleeast/iran-drone-al-tanf-syria.html,"Thu, 18 Nov 2021 22:59:35 +0000",-0.8,Negative
The U.S. Army secretary to National Guard members who resist the vaccines: Prepare for discipline.,"Remaining unvaccinated could cost soldiers promotions, bonuses or even their jobs.",https://www.nytimes.com/2021/11/18/world/national-guard-army-vaccine.html,"Thu, 18 Nov 2021 23:09:34 +0000",0.0,Neutral
"Belarus Clears Migrant Camp, Easing Border Standoff With Poland","Throngs of people, mainly from the Mideast, who had been living in freezing conditions on the border, have been moved to a giant warehouse. Their fate is uncertain.",https://www.nytimes.com/2021/11/18/world/europe/belarus-poland-migrant-camp.html,"Fri, 19 Nov 2021 07:51:32 +0000",0.0,Neutral
"Greece, Facing Surging Cases, Adds Restrictions for the Unvaccinated","Germany restricts access to public transportation, Austria will impose full lockdowns in two states, and the Netherlands recently restored mask mandates in some public indoor places.",https://www.nytimes.com/2021/11/18/world/greece-covid-cases-vaccines.html,"Fri, 19 Nov 2021 02:23:52 +0000",0.0,Neutral
Your Friday Briefing,Where do the migrants in Belarus go next?,https://www.nytimes.com/2021/11/18/briefing/belarus-migrants-border-peng-shuai.html,"Thu, 18 Nov 2021 21:21:17 +0000",0.0,Neutral
